cik,sic,company,loc
0000949114,6189,"NAVIENT FUNDING, LLC",VA
0000949348,6189,"AMERICAN EXPRESS CENTURION BANK",UT
0000949349,6189,"AMERICAN EXPRESS RECEIVABLES FINANCING CORP II",NY
0000949372,6189,"PRUDENTIAL SECURITIES STRUCTURED ASSETS INC",NY
0000949493,6189,"RESIDENTIAL ACCREDIT LOANS INC",MN
0000949966,6189,"TAMARACK LENDERS CORP",TX
0000950173,6189,"BEAR STEARNS AST BACK SEC INC MSTR FIN AST SEC TRUST 1997-1",NY
0000950174,6189,"CWMBS INC MORT PASS THRO CERT SER 1997-8",CA
0000950175,6189,"VANDERBILT MORT & FIN INC SEN SUB PAS THR CERT SER 1999C",TN
0001000112,6189,"CC MASTER CREDIT CARD TRUST II",DE
0001000512,6189,"HOUSEHOLD CONSUMER LOAN DEPOSIT TRUST I",IL
0001000661,6189,"CENTERIOR FUNDING CORP",DE
0001000801,6189,"DAIMLER BENZ AUTO GRANTOR TRUST 1995-A",DE
0001001297,6189,"ASSET SECURITIZATION CORP COMM MOR PASS THR CERT SER 1995-D1",IL
0001001321,6189,"ADVANTA NATIONAL BANK",DE
0001001325,6189,"FIRST DEPOSIT NATL BK FIRST DEP MA TR AS BK CER SER 1993-1",NH
0001001329,6189,"HOUSEHOLD CREDIT CARD MASTER TRUST I",IL
0001001331,6189,"FIRST DEP NATL BK FIRST DEP MA TR FL RA AS BK CE SE 1995-1",NH
0001001334,6189,"FIRST DEPOSIT NATL BK FIRST DEP MA TR AS BK CER SER 1995-2",NH
